Game ID,Date,Home Team,Away Team,Outcome,home_points-per-game,home_true-shooting-percentage,home_offensive-rebounds-per-game,home_defensive-rebounds-per-game,home_steals-per-game,home_assist--per--turnover-ratio,home_personal-fouls-per-game,home_win-pct-all-games,away_points-per-game,away_true-shooting-percentage,away_offensive-rebounds-per-game,away_defensive-rebounds-per-game,away_steals-per-game,away_assist--per--turnover-ratio,away_personal-fouls-per-game,away_win-pct-all-games
55,10/26/22,Cleveland Cavaliers,Orlando Magic,1,116.7,120.5,10.0,34.7,6.3,1.617,19.3,0.667,107.3,108.9,11.3,34.0,6.3,1.220,22.5,0.000
56,10/26/22,Detroit Pistons,Atlanta Hawks,0,108.3,103.2,13.3,32.8,7.0,1.727,22.0,0.250,111.3,109.0,9.7,33.3,10.0,2.079,20.3,0.667
57,10/26/22,Milwaukee Bucks,Brooklyn Nets,1,107.5,115.8,7.5,40.0,5.0,1.767,19.0,1.000,113.7,116.2,10.3,29.0,5.7,1.875,24.7,0.333
58,10/26/22,New York Knicks,Charlotte Hornets,1,119.0,108.9,15.7,35.7,6.0,2.132,25.3,0.667,122.3,117.3,13.0,33.7,7.7,1.953,22.7,0.667
59,10/26/22,Toronto Raptors,Philadelphia 76ers,1,105.0,107.8,9.5,33.5,9.5,1.957,22.8,0.500,107.5,115.3,7.3,31.3,7.0,1.909,18.5,0.250
60,10/26/22,Chicago Bulls,Indiana Pacers,1,108.0,108.6,11.5,33.3,9.0,1.731,19.5,0.500,117.8,107.8,15.0,32.5,6.3,1.964,24.5,0.250
61,10/26/22,Minnesota Timberwolves,San Antonio Spurs,1,115.8,109.3,14.3,40.5,6.8,1.431,19.5,0.500,117.0,111.9,11.8,31.8,8.3,2.034,20.5,0.750
62,10/26/22,Utah Jazz,Houston Rockets,1,121.3,112.6,15.8,31.8,10.5,1.686,22.8,0.750,112.0,106.4,15.0,33.3,6.0,1.333,21.0,0.250
63,10/26/22,Denver Nuggets,Los Angeles Lakers,1,115.5,119.4,10.3,29.8,7.3,1.672,23.5,0.500,103.3,98.8,9.0,33.0,11.3,1.600,22.0,0.000
64,10/26/22,Portland Trail Blazers,Miami Heat,0,117.3,118.0,11.5,35.8,7.0,1.246,17.8,1.000,103.5,109.8,8.3,34.8,5.3,1.596,20.8,0.250
65,10/27/22,Brooklyn Nets,Dallas Mavericks,0,110.0,111.7,9.5,29.3,6.0,1.815,24.5,0.250,117.7,121.0,10.3,32.7,7.0,1.487,20.7,0.333
66,10/27/22,Oklahoma City Thunder,Los Angeles Clippers,1,109.8,99.7,14.5,37.0,8.8,2.136,20.3,0.250,100.8,109.1,7.8,39.3,7.5,1.129,20.3,0.500
67,10/27/22,Golden State Warriors,Miami Heat,1,120.3,116.2,8.5,31.5,8.8,1.773,23.8,0.500,106.6,112.7,9.6,34.0,6.8,1.667,21.0,0.400
68,10/27/22,Sacramento Kings,Memphis Grizzlies,0,114.0,112.8,8.7,35.0,7.7,1.864,25.0,0.000,118.5,110.3,13.8,31.5,6.3,1.774,22.3,0.750
69,10/28/22,Detroit Pistons,Atlanta Hawks,0,109.2,104.8,12.6,32.2,6.4,1.710,22.6,0.200,113.0,110.5,9.8,34.0,9.0,2.020,20.3,0.750
70,10/28/22,Orlando Magic,Charlotte Hornets,1,104.2,107.4,11.0,33.8,6.2,1.197,23.8,0.000,124.5,116.9,12.0,33.5,8.0,1.983,23.0,0.500
71,10/28/22,Boston Celtics,Cleveland Cavaliers,0,116.3,120.0,9.8,30.5,5.5,1.820,23.0,0.750,113.3,115.7,10.5,33.8,6.3,1.683,20.0,0.750
72,10/28/22,Toronto Raptors,Philadelphia 76ers,0,107.8,112.2,8.8,33.4,9.4,2.218,22.4,0.600,107.8,116.9,6.6,31.0,6.8,1.982,17.2,0.200
73,10/28/22,Washington Wizards,Indiana Pacers,0,110.8,116.9,7.8,35.5,7.3,1.485,21.5,0.750,116.0,108.6,13.2,32.4,6.0,1.853,23.2,0.200
